band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B97995664506,B97995664506,,B,8/23/2016,23,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995664506,B97995664506,,E,9/17/2016,17,9,2016,US,US-WI,43.92387,-88.83928,11,41,Unknown,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995664979,B97995664979,,B,8/27/2016,27,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995664979,B97995664979,,E,11/13/2016,13,11,2016,US,US-WI,44.3191,-90.8052,11,41,GREEN HEAD MALLARD,1320,,,,,,,1,21,61,5,0.42,E,Anas platyrhynchos
B97995665216,B97995665216,,B,8/8/2017,8,8,2017,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,14,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995665216,B97995665216,,E,10/8/2017,8,10,2017,US,US-WI,44.58833,-88.19041,0,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995665225,B97995665225,,B,8/8/2017,8,8,2017,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,14,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995665225,B97995665225,,E,11/30/2017,30,11,2017,US,US-WI,43.02268,-91.14124,11,41,Drake  Mallard,1320,,,,,,,1,21,7,5,0.42,E,Anas platyrhynchos
B97995671377,B97995671377,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995671377,B97995671377,,E,12/3/2017,3,12,2017,US,US-WI,43.62748,-89.77096,11,41,Mallard,1320,,,,,,,1,21,7,4,0.5,E,Anas platyrhynchos
B97995671451,B97995671451,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995671451,B97995671451,,E,9/30/2017,30,9,2017,US,US-WI,43.72032,-89.22039,0,41,Mallard,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995671537,B97995671537,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995671537,B97995671537,,E,9/30/2017,30,9,2017,US,US-WI,43.59871,-89.55585,0,41,drake Mallard,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995671786,B97995671786,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995671786,B97995671786,,E,9/30/2017,30,9,2017,US,US-WI,43.79137,-89.31984,11,41,Mallard,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995671937,B97995671937,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995671937,B97995671937,,E,10/1/2017,1,10,2017,US,US-WI,43.89426,-89.12178,11,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995673623,B97995673623,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995673623,B97995673623,,E,10/3/2017,3,10,2017,US,US-WI,43.70916,-89.21023,0,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995673777,B97995673777,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995673777,B97995673777,,E,10/8/2017,8,10,2017,US,US-WI,45.25123,-89.78447,0,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995673859,B97995673859,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995673859,B97995673859,,E,9/30/2017,30,9,2017,US,US-WI,43.8221,-89.27742,11,41,Mallard,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995674177,B97995674177,,B,9/6/2017,6,9,2017,US,US-WI,43.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
